Loja;Gerente;E-mail;;
Iguatemi Esplanada;Helena;email+helena@gmail.com;;
Shopping Midway Mall;Alice;email+alice@gmail.com;;
Norte Shopping;Laura;email+laura@gmail.com;;
Shopping Iguatemi Fortaleza;Manuela;email+manuela@gmail.com;;
Shopping União de Osasco;Valentina;email+valentina@gmail.com;;
Shopping Center Interlagos;Sophia;email+sophia@gmail.com;;
Rio Mar Recife;Isabella;email+isabella@gmail.com;;
Salvador Shopping;Heloisa;email+heloisa@gmail.com;;
Rio Mar Shopping Fortaleza;Luiza;email+luiza@gmail.com;;
Shopping Center Leste Aricanduva;Julia;email+julia@gmail.com;;
Ribeirão Shopping;Lorena;email+lorena@gmail.com;;
Shopping Morumbi;Livia;email+livia@gmail.com;;
Parque Dom Pedro Shopping;Maria Luiza;email+maria_luiza@gmail.com;;
Bourbon Shopping SP;Cecilia;email+cecilia@gmail.com;;
Palladium Shopping Curitiba;Eloa;email+eloa@gmail.com;;
Passei das Águas Shopping;Miguel;email+miguel@gmail.com;;
Center Shopping Uberlândia;Arthur;email+arthur@gmail.com;;
Shopping Recife;Heitor;email+heitor@gmail.com;;
Shopping Vila Velha;Bernardo;email+bernardo@gmail.com;;
Shopping SP Market;Davi;email+davi@gmail.com;;
Shopping Eldorado;Theo;email+theo@gmail.com;;
Shopping Ibirapuera;Lorenzo;email+lorenzo@gmail.com;;
Novo Shopping Ribeirão Preto;Gabriel;email+gabriel@gmail.com;;
Iguatemi Campinas;Pedro;email+pedro@gmail.com;;
Shopping Barra;Benjamin;email+benjamin@gmail.com;;
Diretoria;Diretoria;email+diretoria@gmail.com;;
